time,rsam,mf,hf,dsar,ldsar,vsar,rms,rmes,pgv,pga,zsc2_rsam,zsc2_mf,zsc2_hf,zsc2_dsar,zsc2_ldsar,zsc2_vsar,zsc2_rms,zsc2_rmes,zsc2_pgv,zsc2_pga
2005-02-25 15:10:00,14429.327234310686,15444.0264198783,19885.308933364227,1.4466368245046737,1.883063172071452,0.7766550911071299,0.0007199555381777,0.0002665183877167,0.0059788941379245,0.3334858395571813,4.231097956361109,5.647429925669867,6.65839757744525,0.0627168036842493,0.08158482506341881,0.08716182951661958,3.1759250672010113,4.186921899231514,3.5843570765432116,5.539664845482258
2005-02-25 15:20:00,24410.44053791031,24472.95851106862,30556.94922954339,1.4684992171789224,2.092104673860663,0.8008966578184261,0.0010533446492744,0.0005553030691298,0.0095160756236647,0.451556099490858,4.231097956361109,5.647429925669867,6.65839757744525,0.0627168036842493,0.08158482506341881,0.08716182951661958,3.1759250672010113,4.186921899231514,3.5843570765432116,5.539664845482258
2005-02-25 15:30:00,23380.51986351445,23442.696516135275,24688.66679350364,1.716505110474412,2.059419803053786,0.9495327030904632,0.0009845814136736,0.0004017825136255,0.0052289985306856,0.3386580613591612,8.533571519434497,9.406072881116371,8.48794883981049,0.07215891991590234,0.13711760290333488,0.11466617000412659,4.853875116335188,8.30271992596616,3.058998405340198,5.642370817649649
2005-02-25 15:40:00,22915.4762589452,22606.069627300592,25531.09901930968,1.653442984301703,2.051778112628298,0.8854326878056904,0.0009125547835763,0.0004355305104377,0.0060851849685122,0.3918589588846917,8.287969190364096,8.99737265535931,8.48794883981049,0.21874925950429533,0.13419304137195817,0.2807362641578815,4.379057993730662,8.30271992596616,3.058998405340198,5.642370817649649
2005-02-25 15:50:00,22580.550325758864,22899.57170605989,26027.49092432656,1.6395171627190817,1.927329718699181,0.8798224835670518,0.0011254744007968,0.0004951067798436,0.0098929157868023,0.4081521037529401,8.112478132443574,8.99737265535931,8.81359334530029,0.20211688636095562,0.09335395090924324,0.26525658011531245,4.379057993730662,9.498230296160251,3.65983801735396,6.715818243746595
2005-02-25 16:00:00,26226.042024488856,25376.930621271764,29512.646994771,1.5967468136100176,2.031097973573753,0.8598663015814204,0.0009611133489715,0.0003914306994745,0.0082302705584835,0.4245992767888665,8.112478132443574,9.140374568245731,9.00609276930848,0.15785866829619472,0.09335395090924324,0.21614969257478822,4.697765546322275,7.949006929996016,5.230614994012593,7.050446908632888
2005-02-25 16:10:00,22286.15320547249,24422.918969502007,27977.172524274923,1.6223768026130605,1.7616733864702223,0.8729588005475181,0.0007600043460395,0.0003436455799187,0.0051636890542315,0.4624349831692143,7.959194333772063,9.889058575961757,9.766446676667062,0.15785866829619472,0.05543388317805657,0.21614969257478822,3.4176598812717485,6.397395112938735,3.0138658785313477,7.390872641359568
2005-02-25 16:20:00,23663.22623245698,23138.906012303327,26869.981288319817,1.590946530959897,1.987464098727052,0.8611433615832713,0.000736571568402,0.0003094212807932,0.0073495116138417,0.404511613887017,7.959194333772063,9.257286873834888,9.333831103497788,0.15257782233244135,0.05543388317805657,0.21903113791792658,3.2756550253702317,5.370477122919811,3.0138658785313477,6.975450242297456
2005-02-25 16:30:00,25764.69380543461,26603.610921413405,33802.72159040165,1.4260700046571628,1.994240057949144,0.787025708869772,0.0009443518857797,0.000499111099051,0.0085002515329223,0.4067633611750718,8.683965908946583,9.257286873834888,9.333831103497788,0.054858125347513276,0.11156212557263095,0.0981138326741109,3.2756550253702317,5.370477122919811,4.575301080446192,6.975450242297456
2005-02-25 16:40:00,25221.1649713872,23683.31815003316,28605.973840792773,1.5779303685414114,2.070182902714885,0.827915115976936,0.0007705560696584,0.0003969614304715,0.0073151237562566,0.4333749962783627,9.527279129338446,9.524225975109346,10.013077158856444,0.054858125347513276,0.11378610860715267,0.0981138326741109,3.4821166901534726,8.137220386254057,4.549994672537135,7.021822485689306
2005-02-25 16:50:00,22091.780079504824,23251.26783806662,26562.184033179477,1.640630713317783,1.7790851267919243,0.8753522605303421,0.0009576133970427,0.0005220424972157,0.0062751015194161,0.3554442983341523,7.858491492769626,9.312267462436832,9.21394694060757,0.14129730655583986,0.05868766557852688,0.1541743532348987,3.4821166901534726,8.137220386254057,3.795302838739563,5.977775443958821
2005-02-25 17:00:00,24203.53080767513,25312.89138319157,30667.46654357066,1.5140527856313004,1.9620413601936493,0.8253988423604671,0.0011790707737503,0.0004647085600898,0.0106801806542626,0.4366570263422719,7.858491492769626,9.312267462436832,9.21394694060757,0.09601427403214276,0.05868766557852688,0.1500431245861491,4.674598839162062,10.583129809631135,3.795302838739563,5.977775443958821
2005-02-25 17:10:00,26117.571735769343,28152.771302910063,33289.88163196705,1.565819023951492,1.8205204706569864,0.8456855333446422,0.0010097810528667,0.0004742764272805,0.0074404194626068,0.4488107042757348,8.97366645010439,10.331330613038908,10.826223379697554,0.09601427403214276,0.06707102031564197,0.1500431245861491,5.022980012846872,10.583129809631135,4.642305156683129,7.6420784197816625
2005-02-25 17:20:00,25605.31384512473,25938.31914056422,32960.44504379435,1.4166787187812715,2.0252600987424003,0.7869529402925268,0.0010703154650037,0.0004686783322751,0.0081951427187926,0.4302551058814052,9.738934568341413,10.644220323690316,11.738535650855946,0.051571779334747145,0.06707102031564197,0.09803291469353263,5.022980012846872,10.734347968865944,4.642305156683129,7.508534039606373
