time,rsam,mf,hf,dsar,ldsar,vsar,rms,rmes,pgv,pga,zsc2_rsam,zsc2_mf,zsc2_hf,zsc2_dsar,zsc2_ldsar,zsc2_vsar,zsc2_rms,zsc2_rmes,zsc2_pgv,zsc2_pga
2001-01-26 03:30:00,16.41970744944888,15.525150344429717,52.94615597816474,0.80717753275502,2.4856524816184207,0.2932302283298451,3.3075963732052706e-06,8.210771604674261e-07,2.9496800698864982e-05,0.0002872004235277,0.03713430097163351,0.03176962654810304,0.00882925191205925,14.570221156019594,0.4252197830686254,2.264414786223634,1.144275234443145,2.571736216737398,0.4563675137873787,0.1614899181314574
2001-06-23 20:40:00,2.558212402218872,3.142342741716788,7.376928900410251,1.26121887859034,1.9638641716966097,0.4259754063500575,6.420148839923494e-07,4.032682791122458e-07,3.0808435548192524e-06,0.0003673782563787,0.03713430097163351,0.03176962654810304,0.00882925191205925,14.570221156019594,0.4252197830686254,2.264414786223634,1.144275234443145,2.571736216737398,0.4563675137873787,0.1614899181314574
2001-06-23 20:50:00,2.6198941820528123,3.079447813413009,7.2903218263098015,0.8837882076796953,1.6590958100905149,0.4224021774045278,1.641557861426195e-06,4.6924440630537685e-07,1.3451725061758375e-05,0.0008085874124924,0.03713430097163351,0.02982953705352102,0.008522033524260883,31.97894411171545,0.13996460839569427,49.0109095772427,1.144275234443145,2.571736216737398,0.4563675137873787,0.30111131794197155
2001-06-23 21:00:00,2.3347320314240285,2.784589855846247,7.147358800691582,0.8186836358785673,1.6536151220350557,0.3895970432569872,1.6134638778078666e-06,4.062866488672168e-07,1.3527451170598165e-05,0.0005603855509669,0.029759844755494716,0.021797998835628243,0.008030636893721422,16.472443687521604,0.13694598379250117,24.804188231752004,13.055184622084635,2.6717760276907407,9.682178765382771,0.8765015216044537
2001-06-23 21:10:00,2.782803012005805,4.22835001680638,10.887526485650609,0.7845372773818006,1.2288815407374334,0.3883664505780244,5.402854463364474e-06,3.437418260925375e-06,1.9693235626009328e-05,0.0013456512255327,0.029759844755494716,0.021797998835628243,0.008030636893721422,11.385448135728254,0.019365843299936993,24.15188402445837,13.055184622084635,2.6717760276907407,9.7954854919071,0.8765015216044537
2001-06-23 21:20:00,2.738945567073567,3.4421713625504404,8.190057847788218,0.872719577847468,1.534687897313506,0.4202865750795673,2.3023607825828417e-06,1.009881031116041e-06,1.787270021248779e-05,0.0005671375837096,0.04381007800937401,0.04220483999370458,0.012081050562552544,11.385448135728254,0.019365843299936993,24.15188402445837,33.396538398252375,282.18432384062487,17.448230238003227,0.9034727143535566
2001-06-23 21:30:00,2.6170572841911124,3.448703047574145,8.121039831059012,0.8671474762933824,1.4690682264631567,0.4246627426188127,1.313952843356976e-06,9.473007928731336e-07,4.113864280144029e-06,0.0005997854849301,0.03923688510945469,0.04220483999370458,0.011778311376935916,27.120345617942863,0.0627931677396162,46.981115377928184,7.589201831030616,203.40013171190213,0.8309723321586229,0.9034727143535566
2001-09-12 15:00:00,5.408406830962898,5.317147623050907,11.855285316596946,1.361674269152248,2.0669426125722,0.4485508075927867,4.376453576299605e-07,2.966949823743976e-07,2.6759782141417355e-06,0.0004245112650484,0.03923688510945469,0.04245493351777848,0.011778311376935916,27.120345617942863,0.0627931677396162,51.26482660036504,0.41580397682817594,0.5347109805762533,0.34080132906277416,0.4340910446091285
2001-11-04 14:00:00,4.327048144460431,3.245602358099329,10.266822961749014,0.7116343016510731,3.1088407697612963,0.3161252996504095,2.3189281518442545e-07,1.0987512594539628e-07,1.3330758860487992e-06,0.0001439638165382,0.13260645857580886,0.0351377621176706,0.02379231876745586,4.888077036357905,0.5956707088425135,4.265805655647515,0.07766235331476327,0.0033134950847097627,0.0804061685130604,0.028130005454801973
2001-11-04 14:10:00,7.314261700222395,5.94769973435312,18.55510901579768,0.735141695904408,2.732322911962907,0.3205424300816177,4.2480993975715597e-07,2.796359614472371e-07,1.6731586846990228e-06,0.0001810950261478,0.13260645857580886,0.0351377621176706,0.02379231876745586,4.888077036357905,3.7466655434200966,4.265805655647515,0.07766235331476327,0.0033134950847097627,0.0804061685130604,0.028130005454801973
2001-11-04 14:20:00,16.996189708096654,14.482852039487348,27.3863563180791,1.1501619515738768,2.434101155828865,0.5288345726344958,1.1310526992170974e-05,4.966011258141185e-07,9.843849741718332e-05,0.0057263115415942,0.47280799495938436,0.23205823145431892,0.14035157363866638,6.478897977891983,1.749479897193508,4.794748647800924,0.38435933196388083,0.39491732893380777,0.12876966577634666,0.0502737896333433
2001-11-04 14:30:00,7.259926178215343,5.797408264503134,19.345474464301105,0.6935528530244531,2.855848960584549,0.2996777502253201,4.021186785118318e-07,2.634175139554439e-07,1.8197614823621828e-06,0.0001667549917324,0.46434663580644214,0.21426732079849287,0.15905365051325557,3.9105351226584903,1.749479897193508,2.7197328487134396,0.3324740692614817,0.290877477587609,0.15325504392585307,0.04080185199254342
2001-11-04 14:40:00,7.49346623164868,8.861885673650447,31.94063786057417,0.5961065023423807,1.810329274456004,0.2774486130281414,1.219720835446866e-06,2.621920444197915e-07,1.962859367792869e-05,0.0019923383476586,0.46434663580644214,0.21426732079849287,0.15905365051325557,1.0523645515718618,0.24869015324334182,1.420893546125156,0.3324740692614817,0.28401811800896454,0.15325504392585307,0.04080185199254342
